neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Paramount,2015,55753,38%,21030,62%,38%,8509,58%,32%,55753,0%,3%,10%,81%,1%,0%,1%,5%
San Pedro,2015,80726,23%,18967,52%,48%,17704,53%,27%,80726,0%,5%,6%,48%,1%,0%,4%,35%
Lincoln Heights,2015,29479,50%,14773,57%,43%,6311,63%,36%,29479,0%,24%,1%,70%,0%,0%,1%,4%
Boyle Heights,2015,89861,46%,40921,70%,30%,17623,62%,35%,89861,0%,3%,1%,94%,0%,0%,0%,2%
Historic South-Central,2015,47683,49%,23198,81%,19%,8838,69%,39%,47683,0%,1%,7%,89%,0%,0%,0%,1%
Avalon,2015,3531,29%,1033,54%,46%,922,53%,24%,3531,0%,0%,0%,70%,0%,0%,2%,28%
Westlake,2015,105724,60%,63485,73%,27%,35172,60%,30%,105724,0%,20%,4%,68%,0%,0%,1%,6%
Mission Hills,2015,18399,39%,7115,47%,53%,1551,60%,30%,18399,0%,9%,2%,70%,0%,0%,1%,18%
Quartz Hill,2015,10112,9%,911,38%,62%,836,42%,22%,10112,0%,4%,7%,31%,0%,1%,2%,55%
Marina del Rey,2015,9040,25%,2278,51%,49%,4762,46%,17%,9040,0%,11%,4%,10%,1%,1%,4%,70%
Bell,2015,36082,43%,15542,65%,35%,6621,65%,33%,36082,0%,1%,1%,93%,0%,0%,0%,5%
Long Beach,2015,468736,26%,122198,53%,47%,96903,55%,29%,468736,0%,13%,12%,42%,1%,0%,3%,28%
San Gabriel,2015,41122,55%,22446,41%,59%,6557,57%,30%,41122,0%,60%,0%,26%,0%,0%,1%,12%
Downey,2015,113838,34%,39180,45%,55%,16189,55%,26%,113838,0%,7%,4%,73%,0%,0%,1%,15%
Diamond Bar,2015,46046,43%,20029,30%,70%,3404,52%,30%,46046,0%,54%,4%,17%,1%,0%,2%,21%
La Canada Flintridge,2015,21723,25%,5502,26%,74%,1106,42%,19%,21723,0%,28%,0%,9%,0%,0%,3%,60%
West Covina,2015,110773,35%,38555,36%,64%,10312,57%,27%,110773,0%,25%,4%,56%,0%,0%,2%,14%
Redondo Beach,2015,67471,19%,12667,41%,59%,13805,41%,20%,67471,0%,12%,3%,17%,0%,1%,5%,61%
Vermont Square,2015,49415,40%,19881,72%,28%,8912,67%,42%,49415,0%,1%,28%,67%,0%,1%,1%,1%
Santa Fe Springs,2015,22434,28%,6345,45%,55%,2336,56%,31%,22434,0%,5%,2%,82%,0%,1%,1%,9%
Calabasas,2015,19453,27%,5165,32%,68%,1675,62%,34%,19453,0%,9%,2%,6%,0%,0%,5%,77%
Altadena,2015,42760,20%,8715,44%,56%,4123,51%,32%,42760,0%,7%,22%,27%,0%,0%,4%,40%
Bell Gardens,2015,42885,43%,18384,72%,28%,7316,66%,33%,42885,0%,1%,1%,96%,0%,0%,0%,3%
Sun Valley,2015,72007,48%,34210,51%,49%,9444,66%,41%,72007,0%,8%,2%,70%,0%,0%,1%,18%
Playa Vista,2015,10241,19%,1939,51%,49%,2718,57%,39%,10241,0%,26%,11%,19%,0%,0%,3%,41%
Carson,2015,92336,35%,32203,34%,66%,6239,52%,28%,92336,0%,25%,21%,40%,2%,0%,5%,7%
Hollywood Hills,2015,20724,20%,4168,40%,60%,6423,53%,33%,20724,0%,7%,5%,10%,0%,0%,4%,73%
Lancaster,2015,158068,13%,20571,49%,51%,21366,54%,28%,158068,0%,4%,20%,38%,0%,0%,3%,35%
Leona Valley,2015,2225,10%,221,33%,67%,89,31%,4%,2225,1%,3%,6%,17%,0%,0%,2%,71%
Whittier,2015,84373,18%,15535,45%,55%,11569,54%,24%,84373,0%,5%,1%,69%,0%,0%,1%,24%
Walnut,2015,29870,49%,14682,25%,75%,1280,49%,16%,29870,0%,63%,3%,19%,0%,0%,2%,12%
Castaic Canyons,2015,47140,17%,8136,36%,64%,2121,47%,22%,47140,0%,9%,6%,28%,0%,0%,5%,51%
Silver Lake,2015,30690,30%,9076,44%,56%,8949,48%,23%,30690,0%,16%,3%,31%,0%,0%,2%,47%
Whittier Narrows,2015,7050,41%,2910,42%,58%,732,59%,35%,7050,0%,30%,0%,62%,0%,0%,1%,6%
Glendale,2015,196779,54%,107075,37%,63%,46211,60%,36%,196779,0%,17%,1%,18%,0%,0%,2%,62%
West Whittier-Los Nietos,2015,24012,27%,6514,47%,53%,1896,47%,23%,24012,1%,2%,1%,87%,0%,0%,0%,9%
Atwater Village,2015,11291,43%,4875,29%,71%,2723,56%,27%,11291,0%,23%,1%,43%,0%,0%,3%,29%
East Whittier,2015,10275,16%,1601,41%,59%,1168,41%,21%,10275,0%,5%,0%,55%,0%,0%,2%,38%
El Sereno,2015,41851,37%,15289,50%,50%,6045,63%,34%,41851,0%,10%,2%,80%,0%,0%,1%,8%
Montecito Heights,2015,17425,38%,6595,49%,51%,2946,55%,34%,17425,0%,16%,4%,63%,0%,0%,2%,14%
Florence,2015,51294,40%,20723,76%,24%,8251,74%,50%,51294,0%,0%,19%,80%,0%,0%,0%,1%
Huntington Park,2015,60748,49%,29743,70%,30%,11283,67%,35%,60748,0%,1%,0%,97%,0%,0%,0%,1%
Cheviot Hills,2015,9030,21%,1857,39%,61%,1267,50%,26%,9030,0%,9%,3%,6%,0%,0%,2%,79%
Cypress Park,2015,9175,46%,4228,54%,46%,1632,60%,34%,9175,0%,9%,1%,83%,0%,0%,0%,6%
Desert View Highlands,2015,2012,25%,496,35%,65%,185,54%,26%,2012,0%,5%,9%,53%,0%,3%,2%,27%
Baldwin Park,2015,76546,45%,34148,50%,50%,7397,63%,31%,76546,1%,17%,1%,76%,0%,0%,0%,4%
Montebello,2015,63590,37%,23718,47%,53%,10745,60%,32%,63590,0%,13%,1%,75%,0%,0%,1%,9%
Leimert Park,2015,12146,16%,1965,49%,51%,3002,59%,40%,12146,0%,4%,69%,21%,0%,0%,3%,2%
Santa Clarita,2015,181877,22%,39861,44%,56%,21364,53%,24%,181877,0%,11%,4%,34%,0%,0%,4%,48%
Elysian Park,2015,2284,51%,1166,53%,47%,657,62%,31%,2284,0%,39%,4%,44%,0%,0%,1%,11%
Wilmington,2015,58434,38%,22191,69%,31%,8333,61%,33%,58434,0%,2%,2%,89%,0%,0%,1%,6%
Jefferson Park,2015,24357,34%,8381,65%,35%,5788,66%,39%,24357,0%,3%,35%,53%,0%,1%,2%,6%
Downtown,2015,47190,32%,15136,52%,48%,21846,55%,25%,47190,0%,24%,18%,27%,0%,1%,3%,27%
Encino,2015,45248,35%,15836,25%,75%,7711,55%,34%,45248,0%,7%,3%,11%,0%,0%,3%,75%
West Adams,2015,21853,38%,8319,62%,38%,4755,67%,39%,21853,0%,2%,28%,64%,0%,1%,1%,4%
Hawaiian Gardens,2015,14741,41%,6048,63%,37%,2230,62%,35%,14741,0%,13%,4%,72%,0%,0%,1%,9%
Agoura Hills,2015,17372,20%,3405,34%,66%,1461,58%,40%,17372,0%,8%,2%,13%,0%,0%,4%,73%
Baldwin Hills/Crenshaw,2015,29103,25%,7212,59%,41%,9522,67%,36%,29103,0%,5%,57%,30%,0%,1%,2%,4%
Lake View Terrace,2015,13708,38%,5250,50%,50%,1148,64%,28%,13708,0%,7%,9%,64%,0%,0%,1%,19%
Adams-Normandie,2015,18209,45%,8178,67%,33%,4473,62%,39%,18209,0%,9%,21%,63%,0%,1%,0%,6%
El Monte,2015,109781,50%,54888,51%,49%,17506,68%,38%,109781,0%,29%,0%,65%,0%,0%,0%,4%
Rancho Dominguez,2015,2731,27%,737,53%,47%,59,78%,54%,2731,0%,9%,24%,39%,0%,0%,7%,21%
Acton,2015,2877,12%,342,24%,76%,99,34%,12%,2877,0%,2%,2%,19%,0%,0%,3%,74%
Studio City,2015,38961,18%,7067,40%,60%,10616,48%,28%,38961,0%,7%,6%,12%,0%,0%,4%,71%
La Puente,2015,40292,41%,16529,56%,44%,3473,54%,26%,40292,0%,10%,1%,85%,0%,0%,0%,3%
North Hollywood,2015,81306,42%,33857,53%,47%,23947,59%,34%,81306,0%,7%,6%,55%,0%,0%,2%,30%
Rosemead,2015,52673,56%,29757,36%,64%,7511,64%,37%,52673,0%,61%,0%,33%,0%,0%,1%,5%
San Marino,2015,13344,38%,5126,20%,80%,524,38%,24%,13344,0%,52%,1%,9%,0%,1%,2%,36%
East San Gabriel,2015,21167,50%,10654,35%,65%,2818,47%,25%,21167,0%,52%,1%,25%,0%,1%,2%,19%
South Park,2015,32951,45%,14755,82%,18%,5557,76%,47%,32951,0%,0%,12%,86%,0%,0%,0%,1%
Burbank,2015,104469,34%,35482,34%,66%,24468,53%,29%,104469,0%,11%,2%,26%,0%,1%,4%,56%
Woodland Hills,2015,66639,29%,19311,32%,68%,10511,49%,27%,66639,0%,11%,5%,13%,0%,0%,4%,67%
Angeles Crest,2015,4469,18%,826,35%,65%,261,49%,27%,4469,1%,6%,4%,30%,0%,0%,4%,55%
East Compton,2015,12246,37%,4473,75%,25%,1247,63%,34%,12246,0%,0%,14%,84%,0%,0%,1%,1%
Chatsworth,2015,50333,32%,16290,35%,65%,5947,54%,30%,50333,0%,21%,3%,24%,0%,1%,3%,48%
Mayflower Village,2015,9810,37%,3582,42%,58%,828,59%,26%,9810,0%,19%,5%,55%,0%,0%,1%,20%
Koreatown,2015,107249,62%,66061,69%,31%,40002,62%,33%,107249,0%,37%,4%,48%,0%,0%,1%,8%
South Gate,2015,95395,43%,41190,58%,42%,12826,65%,34%,95395,0%,1%,1%,96%,0%,0%,0%,3%
Elysian Valley,2015,7239,44%,3167,40%,60%,1291,53%,28%,7239,0%,21%,1%,64%,1%,0%,2%,12%
Claremont,2015,39225,19%,7513,35%,65%,4281,49%,24%,39225,0%,15%,4%,23%,0%,0%,3%,54%
Avocado Heights,2015,14094,34%,4857,44%,56%,866,60%,34%,14094,0%,10%,0%,82%,0%,0%,0%,7%
South San Gabriel,2015,8744,49%,4254,35%,65%,822,47%,27%,8744,0%,48%,1%,42%,0%,0%,1%,7%
Northwest Antelope Valley,2015,5061,8%,426,40%,60%,404,42%,16%,5061,1%,3%,7%,17%,0%,0%,2%,71%
Echo Park,2015,35164,40%,13927,55%,45%,10086,52%,28%,35164,0%,17%,3%,53%,0%,0%,1%,25%
Lynwood,2015,69955,39%,27213,64%,36%,8302,67%,36%,69955,0%,1%,8%,88%,0%,0%,0%,2%
Unincorporated Santa Susana Mountains,2015,23865,23%,5550,38%,62%,2619,47%,21%,23865,0%,18%,3%,22%,0%,0%,4%,52%
Shadow Hills,2015,13129,37%,4796,28%,72%,1076,60%,32%,13129,0%,10%,1%,22%,0%,0%,1%,65%
La Habra Heights,2015,8511,22%,1835,15%,85%,254,35%,14%,8511,0%,19%,1%,29%,0%,0%,2%,49%
Covina,2015,54413,22%,12056,41%,59%,6911,57%,28%,54413,0%,11%,3%,59%,0%,0%,2%,25%
Northwest Palmdale,2015,4041,16%,630,35%,65%,145,67%,23%,4041,1%,8%,9%,26%,0%,0%,2%,53%
Sawtelle,2015,41396,36%,14886,49%,51%,14823,49%,27%,41396,0%,23%,3%,21%,0%,0%,4%,49%
Rancho Park,2015,5464,29%,1599,49%,51%,1204,49%,27%,5464,0%,25%,2%,13%,0%,1%,5%,53%
East Los Angeles,2015,124041,42%,52245,68%,32%,20500,58%,31%,124041,0%,1%,0%,97%,0%,0%,0%,1%
Beverlywood,2015,6958,24%,1689,29%,71%,904,53%,29%,6958,0%,9%,3%,7%,0%,1%,3%,77%
Bellflower,2015,77667,29%,22667,51%,49%,14060,59%,31%,77667,0%,12%,14%,54%,0%,0%,1%,18%
Azusa,2015,45474,32%,14607,54%,46%,5167,58%,31%,45474,0%,9%,2%,69%,0%,0%,2%,18%
Del Rey,2015,29388,34%,9898,55%,45%,7187,47%,22%,29388,0%,15%,4%,40%,0%,0%,3%,37%
Mid-Wilshire,2015,41936,33%,14017,52%,48%,15633,53%,30%,41936,0%,22%,13%,19%,0%,1%,4%,40%
North Whittier,2015,7307,19%,1398,23%,77%,444,50%,25%,7307,0%,13%,1%,57%,0%,1%,2%,26%
Beverly Crest,2015,11308,26%,2972,26%,74%,673,37%,17%,11308,0%,8%,2%,6%,0%,0%,3%,81%
Cerritos,2015,49752,45%,22270,23%,77%,3173,53%,26%,49752,0%,60%,7%,13%,0%,0%,2%,16%
West Hills,2015,39472,24%,9639,23%,77%,2049,51%,27%,39472,1%,13%,3%,17%,0%,0%,4%,62%
Vincent,2015,13969,31%,4276,42%,58%,1012,49%,18%,13969,0%,8%,1%,72%,0%,0%,1%,17%
Sun Village,2015,1746,23%,399,44%,56%,137,60%,35%,1746,0%,1%,7%,66%,0%,0%,2%,23%
Playa del Rey,2015,11320,18%,2057,34%,66%,3033,45%,23%,11320,0%,12%,5%,14%,0%,1%,5%,63%
Valinda,2015,19494,38%,7353,49%,51%,926,55%,23%,19494,0%,16%,2%,73%,0%,0%,0%,8%
Tujunga,2015,27338,38%,10462,33%,67%,4689,60%,33%,27338,0%,8%,2%,28%,0%,0%,3%,60%
Exposition Park,2015,34881,43%,15063,66%,34%,7292,65%,43%,34881,0%,4%,23%,68%,0%,1%,1%,3%
Eagle Rock,2015,34112,35%,11887,35%,65%,5031,51%,26%,34112,0%,25%,1%,41%,0%,0%,2%,30%
Harbor City,2015,26155,35%,9117,54%,46%,4359,54%,28%,26155,0%,17%,10%,50%,2%,0%,3%,19%
Southeast Antelope Valley,2015,8321,18%,1474,48%,52%,720,47%,23%,8321,0%,4%,5%,36%,1%,1%,3%,50%
Reseda,2015,70050,45%,31689,49%,51%,10311,61%,37%,70050,0%,12%,3%,54%,0%,0%,2%,28%
Willowbrook,2015,36113,28%,10063,71%,29%,4529,61%,37%,36113,1%,1%,35%,62%,0%,1%,0%,1%
Highland Park,2015,53215,40%,21098,52%,48%,9741,57%,30%,53215,0%,11%,2%,72%,0%,0%,1%,13%
Temple City,2015,37695,47%,17764,27%,73%,4438,56%,32%,37695,0%,56%,1%,22%,0%,0%,2%,19%
Westlake Village,2015,7716,14%,1091,17%,83%,476,46%,21%,7716,0%,7%,1%,7%,0%,0%,2%,82%
Pico-Robertson,2015,18451,29%,5350,29%,71%,6101,54%,33%,18451,0%,9%,5%,9%,0%,0%,4%,72%
Monrovia,2015,39090,25%,9922,48%,52%,6765,49%,22%,39090,0%,13%,6%,40%,0%,0%,3%,38%
Broadway-Manchester,2015,28179,34%,9651,74%,26%,4674,73%,51%,28179,0%,0%,28%,70%,0%,0%,1%,0%
Sunland,2015,14938,32%,4789,27%,73%,1733,58%,25%,14938,0%,10%,3%,26%,1%,0%,2%,57%
Agua Dulce,2015,4418,8%,341,34%,66%,124,75%,15%,4418,0%,3%,1%,20%,0%,0%,7%,69%
Malibu,2015,9704,16%,1539,40%,60%,958,51%,32%,9704,0%,5%,2%,9%,0%,0%,2%,82%
Topanga,2015,7112,19%,1363,37%,63%,576,49%,21%,7112,0%,4%,1%,7%,0%,0%,3%,84%
Northeast Antelope Valley,2015,22201,18%,3964,49%,51%,1964,54%,34%,22201,0%,3%,9%,54%,0%,0%,2%,32%
Arleta,2015,34501,47%,16083,50%,50%,1980,60%,38%,34501,0%,11%,1%,79%,0%,0%,1%,9%
Van Nuys,2015,110715,46%,51378,63%,37%,26998,65%,36%,110715,0%,7%,5%,63%,0%,0%,2%,22%
Mar Vista,2015,37451,28%,10372,57%,43%,9667,47%,23%,37451,0%,13%,5%,28%,0%,0%,4%,50%
Valley Glen,2015,56707,44%,25064,46%,54%,13258,63%,35%,56707,0%,6%,5%,40%,0%,0%,2%,47%
Arcadia,2015,60743,48%,28873,32%,68%,8041,48%,26%,60743,0%,57%,1%,14%,0%,0%,2%,25%
Windsor Square,2015,6871,45%,3075,48%,52%,1631,67%,29%,6871,0%,50%,3%,11%,0%,0%,5%,32%
West Puente Valley,2015,20537,35%,7183,48%,52%,1262,50%,21%,20537,0%,8%,2%,84%,0%,0%,0%,6%
Central-Alameda,2015,43897,47%,20683,81%,19%,6761,70%,42%,43897,0%,1%,9%,89%,0%,0%,0%,0%
Arlington Heights,2015,23484,51%,11900,65%,35%,5853,61%,34%,23484,0%,18%,15%,60%,0%,1%,1%,5%
Harvard Heights,2015,19246,57%,10905,68%,32%,4957,64%,32%,19246,0%,20%,8%,65%,0%,0%,1%,5%
Harvard Park,2015,9806,34%,3288,64%,36%,1507,68%,45%,9806,0%,1%,37%,60%,0%,0%,1%,1%
East Hollywood,2015,69466,57%,39527,60%,40%,21811,60%,33%,69466,0%,17%,3%,57%,0%,0%,1%,21%
Lennox,2015,19317,46%,8884,69%,31%,3275,61%,36%,19317,0%,1%,4%,92%,0%,0%,0%,2%
Larchmont,2015,8968,43%,3880,46%,54%,2597,48%,32%,8968,0%,29%,5%,34%,0%,0%,4%,28%
Tarzana,2015,37860,38%,14553,31%,69%,6324,56%,30%,37860,0%,7%,3%,23%,0%,0%,4%,63%
Rolling Hills,2015,2996,20%,586,22%,78%,98,48%,14%,2996,0%,20%,1%,7%,0%,0%,3%,68%
Mid-City,2015,52173,34%,17793,56%,44%,12614,61%,35%,52173,0%,5%,27%,49%,0%,1%,2%,16%
Westchester,2015,41692,18%,7305,40%,60%,7803,53%,29%,41692,0%,13%,15%,18%,0%,0%,5%,49%
Manchester Square,2015,11578,13%,1493,50%,50%,1924,64%,40%,11578,0%,1%,74%,20%,0%,0%,3%,1%
Rowland Heights,2015,43380,55%,23993,37%,63%,3975,56%,30%,43380,0%,57%,1%,28%,0%,0%,2%,11%
Ridge Route,2015,7049,20%,1385,42%,58%,713,53%,23%,7049,0%,6%,3%,28%,0%,0%,3%,60%
South San Jose Hills,2015,20517,42%,8607,63%,37%,1330,63%,35%,20517,0%,7%,1%,86%,0%,0%,1%,4%
Vermont-Slauson,2015,26937,41%,10973,71%,29%,4995,72%,44%,26937,0%,0%,25%,73%,0%,0%,0%,0%
Athens,2015,8954,27%,2402,71%,29%,1381,62%,33%,8954,0%,2%,45%,47%,0%,0%,3%,2%
Mount Washington,2015,14558,34%,4883,47%,53%,2043,64%,40%,14558,0%,13%,3%,55%,0%,0%,2%,28%
West Compton,2015,6263,25%,1575,44%,56%,543,59%,35%,6263,0%,4%,46%,44%,0%,0%,2%,4%
Los Feliz,2015,33386,32%,10596,31%,69%,12781,47%,26%,33386,0%,12%,2%,17%,0%,0%,3%,66%
Chinatown,2015,13331,44%,5876,53%,47%,3173,59%,29%,13331,0%,41%,14%,31%,0%,0%,1%,13%
Century City,2015,5879,29%,1694,36%,64%,1127,48%,27%,5879,0%,17%,2%,5%,2%,1%,2%,71%
Florence-Firestone,2015,61936,43%,26568,74%,26%,9434,67%,40%,61936,0%,0%,8%,90%,0%,0%,0%,1%
University Park,2015,24414,39%,9619,80%,20%,5001,66%,44%,24414,0%,28%,6%,34%,0%,1%,2%,29%
Hollywood Hills West,2015,15947,24%,3863,37%,63%,2938,46%,24%,15947,0%,5%,3%,9%,0%,1%,4%,79%
Unincorporated Santa Monica Mountains,2015,23373,19%,4328,37%,63%,2088,51%,32%,23373,0%,8%,2%,11%,0%,0%,3%,76%
West Los Angeles,2015,12665,33%,4123,36%,64%,3134,49%,27%,12665,0%,19%,2%,8%,1%,1%,3%,67%
Hancock Park,2015,10948,23%,2512,29%,71%,2624,43%,25%,10948,0%,14%,2%,9%,0%,1%,3%,71%
Canoga Park,2015,58733,46%,27230,66%,34%,13082,61%,32%,58733,0%,13%,4%,58%,0%,0%,1%,23%
Chesterfield Square,2015,8410,32%,2669,67%,33%,1398,64%,48%,8410,0%,1%,44%,52%,0%,0%,0%,1%
Hidden Hills,2015,2249,23%,516,31%,69%,185,50%,22%,2249,0%,10%,0%,9%,0%,0%,3%,78%
Norwalk,2015,105859,35%,36598,47%,53%,9917,55%,29%,105859,0%,13%,4%,70%,0%,0%,1%,12%
North El Monte,2015,2397,36%,856,30%,70%,275,51%,22%,2397,0%,39%,1%,31%,0%,0%,2%,27%
Monterey Park,2015,61678,53%,32897,35%,65%,9381,57%,31%,61678,0%,62%,0%,31%,0%,0%,2%,4%
Hollywood,2015,73964,42%,31382,56%,44%,33453,56%,30%,73964,0%,6%,5%,38%,0%,1%,3%,46%
Fairfax,2015,13617,23%,3146,36%,64%,4843,47%,28%,13617,0%,7%,3%,8%,0%,1%,4%,76%
Glassell Park,2015,23982,44%,10563,51%,49%,4433,61%,30%,23982,0%,20%,2%,60%,0%,0%,2%,16%
Watts,2015,42594,32%,13764,74%,26%,6582,65%,40%,42594,0%,0%,24%,74%,0%,0%,0%,1%
La Verne,2015,31303,16%,4867,36%,64%,3092,54%,26%,31303,0%,9%,3%,33%,0%,0%,3%,51%
Rancho Palos Verdes,2015,42026,28%,11769,28%,72%,3210,52%,25%,42026,0%,28%,3%,10%,1%,0%,4%,54%
Green Meadows,2015,35366,31%,11050,75%,25%,4816,71%,44%,35366,0%,0%,29%,69%,0%,0%,1%,1%
Del Aire,2015,9728,30%,2875,41%,59%,1335,49%,21%,9728,0%,8%,9%,52%,0%,0%,4%,27%
Vermont Knolls,2015,20902,30%,6311,78%,22%,4643,72%,46%,20902,0%,1%,38%,59%,0%,0%,1%,1%
Castaic,2015,11115,16%,1762,16%,84%,369,58%,16%,11115,0%,11%,3%,25%,0%,0%,5%,56%
Westwood,2015,54281,27%,14471,48%,52%,12669,58%,43%,54281,0%,29%,2%,10%,0%,0%,4%,54%
Venice,2015,33985,20%,6730,49%,51%,11454,48%,24%,33985,0%,5%,6%,16%,0%,0%,4%,68%
South Diamond Bar,2015,4795,37%,1777,22%,78%,261,61%,36%,4795,0%,43%,5%,17%,1%,0%,3%,30%
Universal City,2015,141,22%,32,34%,66%,27,50%,33%,141,0%,9%,4%,6%,0%,1%,4%,75%
Pacific Palisades,2015,24817,16%,3996,30%,70%,2055,47%,26%,24817,0%,6%,1%,5%,0%,0%,5%,82%
Bel-Air,2015,7330,27%,2004,23%,77%,548,46%,27%,7330,0%,9%,3%,7%,0%,0%,4%,77%
East Pasadena,2015,5635,36%,2045,34%,66%,681,48%,29%,5635,0%,29%,1%,36%,0%,0%,2%,32%
Cudahy,2015,24455,46%,11285,74%,26%,4747,63%,32%,24455,0%,1%,0%,96%,0%,0%,0%,3%
Palos Verdes Estates,2015,13268,17%,2292,26%,74%,570,38%,24%,13268,0%,20%,1%,5%,0%,0%,4%,69%
Ladera Heights,2015,12726,16%,2012,32%,68%,1830,46%,29%,12726,0%,9%,58%,7%,1%,0%,5%,20%
Walnut Park,2015,15882,50%,7976,60%,40%,1759,60%,29%,15882,0%,1%,0%,97%,0%,0%,0%,1%
La Crescenta-Montrose,2015,18249,35%,6378,35%,65%,1936,45%,18%,18249,0%,30%,1%,13%,0%,0%,2%,54%
Gardena,2015,59580,34%,20081,44%,56%,10139,57%,28%,59580,0%,25%,24%,38%,0%,1%,3%,9%
Duarte,2015,21542,34%,7362,35%,65%,2664,58%,33%,21542,0%,16%,7%,47%,0%,0%,3%,27%
La Mirada,2015,49122,25%,12058,31%,69%,3241,52%,25%,49122,0%,20%,2%,41%,0%,0%,2%,34%
Maywood,2015,26014,46%,11837,70%,30%,4475,64%,37%,26014,0%,0%,0%,98%,0%,0%,0%,1%
Alondra Park,2015,8776,33%,2888,41%,59%,1278,61%,27%,8776,0%,20%,13%,44%,0%,1%,3%,19%
Beverly Grove,2015,21813,28%,6103,35%,65%,8743,49%,23%,21813,0%,11%,3%,9%,0%,0%,4%,74%
Vermont Vista,2015,23865,34%,8192,76%,24%,4363,69%,40%,23865,0%,0%,32%,66%,0%,0%,1%,1%
Lawndale,2015,33002,38%,12416,58%,42%,6514,60%,32%,33002,0%,8%,8%,66%,0%,0%,3%,14%
Hyde Park,2015,34601,22%,7772,57%,43%,7779,72%,46%,34601,0%,1%,58%,36%,0%,1%,2%,2%
Lomita,2015,20132,25%,5010,54%,46%,4459,49%,25%,20132,0%,17%,2%,33%,1%,0%,4%,42%
South Pasadena,2015,25854,27%,6885,36%,64%,5770,44%,19%,25854,0%,29%,2%,20%,0%,1%,5%,43%
Westmont,2015,32443,23%,7546,67%,33%,7045,74%,49%,32443,0%,0%,51%,46%,0%,0%,1%,2%
San Pasqual,2015,1977,18%,347,40%,60%,347,44%,16%,1977,0%,17%,7%,16%,0%,0%,3%,58%
West Hollywood,2015,35252,26%,9124,35%,65%,17607,50%,27%,35252,0%,5%,4%,13%,0%,0%,3%,74%
Artesia,2015,16719,50%,8435,45%,55%,2169,53%,32%,16719,0%,40%,2%,37%,0%,0%,2%,19%
Manhattan Beach,2015,35480,12%,4087,30%,70%,4336,35%,14%,35480,0%,9%,1%,9%,0%,0%,4%,75%
West Carson,2015,21371,37%,7921,38%,62%,1923,45%,21%,21371,0%,30%,12%,33%,3%,0%,4%,18%
Hermosa Beach,2015,19688,10%,1963,38%,62%,4751,36%,17%,19688,1%,5%,1%,9%,0%,0%,3%,81%
Carthay,2015,5513,19%,1048,51%,49%,1616,46%,23%,5513,0%,8%,9%,13%,0%,0%,6%,63%
Beverly Hills,2015,34612,38%,13296,28%,72%,8527,48%,25%,34612,0%,9%,2%,7%,0%,0%,4%,78%
El Segundo,2015,16910,14%,2321,46%,54%,3977,39%,16%,16910,0%,8%,1%,19%,1%,0%,5%,65%
View Park-Windsor Hills,2015,11625,8%,905,44%,56%,1415,53%,21%,11625,0%,2%,76%,8%,0%,1%,5%,8%
Sierra Madre,2015,11066,13%,1485,32%,68%,1811,36%,20%,11066,0%,11%,2%,15%,0%,1%,2%,69%
Gramercy Park,2015,10692,14%,1479,67%,33%,1421,65%,55%,10692,0%,0%,79%,18%,0%,0%,2%,1%
Aggregated,2015,9998960,35%,3475459,51%,49%,1756465,57%,31%,9998960,0%,14%,8%,48%,0%,0%,2%,27%
Irwindale,2016,1683,23%,389,47%,53%,143,58%,14%,1683,0%,4%,0%,90%,0%,0%,0%,6%
Pico-Union,2016,41249,59%,24220,71%,29%,11540,63%,31%,41249,0%,11%,3%,83%,0%,0%,0%,3%
Glendora,2016,54300,17%,9145,32%,68%,5147,50%,25%,54300,0%,10%,2%,30%,0%,0%,3%,53%
Industry,2016,22842,43%,9869,44%,56%,1753,59%,30%,22842,0%,30%,2%,57%,0%,0%,1%,10%
Sylmar,2016,80281,36%,29090,54%,46%,7193,62%,30%,80281,0%,5%,2%,80%,0%,0%,1%,11%
Torrance,2016,146599,29%,42486,41%,59%,24661,49%,23%,146599,0%,34%,2%,18%,1%,0%,5%,40%
Alhambra,2016,84661,50%,42215,37%,63%,17333,52%,28%,84661,0%,50%,2%,37%,0%,0%,1%,9%
Pico Rivera,2016,64866,32%,20725,44%,56%,5620,56%,28%,64866,0%,3%,1%,90%,0%,0%,0%,6%
Rolling Hills Estates,2016,10535,24%,2576,28%,72%,525,39%,17%,10535,0%,27%,2%,9%,0%,0%,4%,58%
Signal Hill,2016,11699,31%,3604,42%,58%,2308,59%,25%,11699,0%,21%,11%,38%,1%,0%,3%,26%
Hawthorne,2016,90485,36%,32488,56%,44%,21487,56%,29%,90485,0%,7%,21%,57%,1%,1%,4%,10%
North Hills,2016,61101,42%,25655,55%,45%,8516,63%,38%,61101,0%,13%,3%,63%,0%,0%,2%,18%
Hacienda Heights,2016,52595,42%,22022,31%,69%,3811,53%,28%,52595,0%,40%,1%,45%,0%,0%,1%,13%
Harbor Gateway,2016,41119,37%,15044,58%,42%,7293,64%,39%,41119,0%,17%,15%,57%,0%,1%,2%,8%
